Vol;Compagnie;Heure_Arrivee;Passagers;Taux_Transit;Temps_Escale_Min;Passagers_Transit;Passagers_Terminus
KP416;ASKY Airlines;14:50;131;0.42;40;55;76
ET964;Ethiopian Airlines;15:10;204;0.39;45;80;124
KP767;ASKY Airlines;11:20;341;0.09;45;31;310
AS957;ASKY Airlines;19:45;347;0.09;120;31;316
AS926;ASKY Airlines;17:20;142;0.23;45;33;109
AS450;ASKY Airlines;21:35;115;0.51;150;59;56
KP254;ASKY Airlines;11:30;88;0.06;90;5;83
AS605;ASKY Airlines;15:30;320;0.42;35;134;186
TK877;Turkish Airlines;19:25;169;0.16;35;27;142
ET459;Ethiopian Airlines;10:30;343;0.62;50;213;130
TK431;Turkish Airlines;21:30;284;0.31;60;88;196
AS627;ASKY Airlines;19:20;290;0.08;45;23;267
AS174;ASKY Airlines;13:20;286;0.48;75;137;149
ET311;Ethiopian Airlines;01:15;173;0.34;120;59;114
KP740;ASKY Airlines;12:15;278;0.58;45;161;117
KP294;ASKY Airlines;13:20;248;0.44;90;109;139
ET879;Ethiopian Airlines;05:45;306;0.47;35;144;162
AS108;ASKY Airlines;11:40;83;0.51;120;42;41
ET408;Ethiopian Airlines;06:50;177;0.3;45;53;124
AF544;Air France;03:55;272;0.53;150;144;128
AS776;ASKY Airlines;06:25;345;0.08;75;28;317
KP525;ASKY Airlines;12:35;303;0.51;50;155;148
AT916;Royal Air Maroc;10:40;146;0.43;120;63;83
ET871;Ethiopian Airlines;07:55;217;0.39;150;85;132
AS690;ASKY Airlines;18:15;318;0.24;35;76;242
2J790;Air Burkina;01:55;83;0.12;40;10;73
KP555;ASKY Airlines;20:30;181;0.44;45;80;101
AF543;Air France;17:20;123;0.33;50;41;82
2J826;Air Burkina;20:15;198;0.18;75;36;162
KP574;ASKY Airlines;09:55;267;0.08;40;21;246
KP202;ASKY Airlines;05:30;310;0.37;105;115;195
KP555;ASKY Airlines;23:10;269;0.13;120;35;234
AS413;ASKY Airlines;21:00;189;0.61;40;115;74
KP333;ASKY Airlines;03:30;185;0.14;50;26;159
AF693;Air France;18:40;244;0.07;50;17;227
AS334;ASKY Airlines;13:05;205;0.21;75;43;162
ET889;Ethiopian Airlines;13:30;177;0.15;60;27;150
2J486;Air Burkina;17:45;199;0.52;150;103;96
AT946;Royal Air Maroc;16:05;222;0.22;40;49;173
ET710;Ethiopian Airlines;17:10;274;0.2;30;55;219
KP137;ASKY Airlines;17:45;209;0.65;60;136;73
ET260;Ethiopian Airlines;04:55;183;0.14;150;26;157
ET561;Ethiopian Airlines;08:45;172;0.1;60;17;155
AS548;ASKY Airlines;00:10;301;0.23;45;69;232
KP340;ASKY Airlines;03:55;279;0.29;35;81;198
HF125;Air C̫te d'Ivoire;06:15;337;0.51;105;172;165
AS661;ASKY Airlines;10:25;89;0.62;60;55;34
AS905;ASKY Airlines;13:10;250;0.51;30;128;122
AS397;ASKY Airlines;09:40;180;0.49;90;88;92
KP253;ASKY Airlines;18:05;189;0.64;120;121;68
AT831;Royal Air Maroc;07:30;326;0.51;75;166;160
AF751;Air France;02:25;323;0.13;150;42;281
AT567;Royal Air Maroc;07:05;102;0.33;150;34;68
KP753;ASKY Airlines;17:50;304;0.35;60;106;198
AS774;ASKY Airlines;04:10;341;0.23;150;78;263
ET384;Ethiopian Airlines;19:25;348;0.15;150;52;296
AS727;ASKY Airlines;10:45;100;0.48;30;48;52
AS143;ASKY Airlines;08:15;199;0.22;120;44;155
AT805;Royal Air Maroc;18:00;199;0.42;50;84;115
AS372;ASKY Airlines;11:00;277;0.24;45;66;211
ET493;Ethiopian Airlines;04:10;215;0.35;75;75;140
AS889;ASKY Airlines;15:35;156;0.25;35;39;117
KP157;ASKY Airlines;12:50;137;0.3;30;41;96
KP100;ASKY Airlines;05:15;165;0.49;75;81;84
TK315;Turkish Airlines;15:50;80;0.58;90;46;34
AT416;Royal Air Maroc;17:00;156;0.36;50;56;100
TK327;Turkish Airlines;16:35;89;0.42;90;37;52
ET572;Ethiopian Airlines;11:45;148;0.57;45;84;64
AS865;ASKY Airlines;00:25;227;0.14;90;32;195
ET770;Ethiopian Airlines;06:00;141;0.15;150;21;120
ET386;Ethiopian Airlines;13:55;92;0.27;40;25;67
HF610;Air C̫te d'Ivoire;17:45;265;0.24;75;64;201
AS920;ASKY Airlines;22:45;244;0.64;60;156;88
ET557;Ethiopian Airlines;00:25;89;0.39;30;35;54
KP592;ASKY Airlines;19:00;338;0.36;50;122;216
KP249;ASKY Airlines;09:45;241;0.4;150;96;145
AF122;Air France;14:45;275;0.58;45;160;115
ET855;Ethiopian Airlines;10:10;113;0.2;60;23;90
KP498;ASKY Airlines;03:05;239;0.36;105;86;153
AS230;ASKY Airlines;14:15;164;0.21;45;34;130
ET954;Ethiopian Airlines;20:05;137;0.52;35;71;66
AT247;Royal Air Maroc;15:50;344;0.52;90;179;165
HF480;Air C̫te d'Ivoire;14:20;104;0.62;30;64;40
TK208;Turkish Airlines;16:15;115;0.32;60;37;78
AT651;Royal Air Maroc;22:25;343;0.15;45;51;292
KP394;ASKY Airlines;10:30;193;0.59;60;114;79
AF219;Air France;17:55;184;0.58;40;107;77
AS629;ASKY Airlines;15:05;172;0.19;105;33;139
KP809;ASKY Airlines;14:05;168;0.22;40;37;131
HF242;Air C̫te d'Ivoire;10:35;242;0.24;40;58;184
KP797;ASKY Airlines;12:40;117;0.32;50;37;80
SN360;Brussels Airlines;17:20;171;0.55;75;94;77
ET330;Ethiopian Airlines;07:30;198;0.14;60;28;170
ET353;Ethiopian Airlines;08:55;290;0.47;75;136;154
AF428;Air France;21:40;239;0.26;105;62;177
HF396;Air C̫te d'Ivoire;10:00;180;0.17;40;31;149
ET109;Ethiopian Airlines;16:35;258;0.25;50;64;194
ET545;Ethiopian Airlines;00:45;102;0.37;50;38;64
AS935;ASKY Airlines;10:45;111;0.6;40;67;44
ET329;Ethiopian Airlines;06:40;217;0.43;150;93;124
AS177;ASKY Airlines;07:40;160;0.41;120;66;94
AF524;Air France;18:45;274;0.12;105;33;241
ET292;Ethiopian Airlines;03:30;172;0.1;105;17;155
AF500;Air France;03:55;125;0.13;60;16;109
KP891;ASKY Airlines;18:55;106;0.11;50;12;94
KP362;ASKY Airlines;23:55;241;0.4;45;96;145
AF428;Air France;08:55;180;0.32;45;58;122
KP966;ASKY Airlines;16:45;266;0.05;50;13;253
AS879;ASKY Airlines;17:10;273;0.26;35;71;202
KP358;ASKY Airlines;00:20;237;0.13;90;31;206
TK434;Turkish Airlines;13:05;88;0.64;75;56;32
AF184;Air France;03:50;291;0.33;75;96;195
AS900;ASKY Airlines;09:45;246;0.31;30;76;170
AS670;ASKY Airlines;22:10;190;0.44;90;84;106
AS361;ASKY Airlines;13:45;282;0.26;150;73;209
AT997;Royal Air Maroc;06:30;327;0.48;30;157;170
AF896;Air France;11:00;144;0.59;105;85;59
KP779;ASKY Airlines;21:10;282;0.35;60;99;183
KP800;ASKY Airlines;15:20;240;0.28;90;67;173
AS350;ASKY Airlines;04:50;212;0.36;30;76;136
AF423;Air France;10:15;257;0.41;60;105;152
AT328;Royal Air Maroc;03:10;272;0.56;30;152;120
AS927;ASKY Airlines;12:25;345;0.29;40;100;245
AS695;ASKY Airlines;07:55;139;0.08;35;11;128
KP826;ASKY Airlines;06:25;284;0.43;35;122;162
TK336;Turkish Airlines;10:15;234;0.64;45;150;84
AS724;ASKY Airlines;10:40;151;0.56;75;85;66
AT316;Royal Air Maroc;16:50;235;0.5;40;118;117
ET932;Ethiopian Airlines;21:25;252;0.16;75;40;212
AS547;ASKY Airlines;13:40;141;0.5;105;70;71
KP418;ASKY Airlines;01:50;284;0.1;45;28;256
AS531;ASKY Airlines;19:45;139;0.35;75;49;90
ET503;Ethiopian Airlines;20:45;165;0.27;30;45;120
AT985;Royal Air Maroc;07:05;222;0.59;35;131;91
ET136;Ethiopian Airlines;21:25;86;0.15;90;13;73
ET675;Ethiopian Airlines;01:15;258;0.52;40;134;124
KP441;ASKY Airlines;20:05;306;0.08;50;24;282
TK488;Turkish Airlines;14:20;86;0.47;90;40;46
AT133;Royal Air Maroc;04:10;219;0.23;50;50;169
KP678;ASKY Airlines;05:25;93;0.64;30;60;33
TK308;Turkish Airlines;16:50;113;0.45;35;51;62
ET929;Ethiopian Airlines;07:35;319;0.24;120;77;242
ET955;Ethiopian Airlines;18:15;176;0.19;150;33;143
AF251;Air France;04:55;347;0.43;40;149;198
AT998;Royal Air Maroc;22:15;205;0.21;120;43;162
AF464;Air France;18:20;113;0.16;35;18;95
KP700;ASKY Airlines;13:25;97;0.44;105;43;54
AS934;ASKY Airlines;09:50;147;0.48;50;71;76
SN178;Brussels Airlines;12:30;316;0.19;30;60;256
KP533;ASKY Airlines;21:25;159;0.37;150;59;100
KP941;ASKY Airlines;04:30;165;0.45;150;74;91
AS186;ASKY Airlines;06:40;139;0.62;150;86;53
KP492;ASKY Airlines;09:15;127;0.53;90;67;60
ET712;Ethiopian Airlines;10:45;258;0.3;40;77;181
TK343;Turkish Airlines;02:00;163;0.56;150;91;72
AS679;ASKY Airlines;12:40;174;0.32;105;56;118
AS639;ASKY Airlines;01:30;331;0.13;105;43;288
AS837;ASKY Airlines;03:15;259;0.25;60;65;194
HF176;Air C̫te d'Ivoire;02:45;163;0.53;45;86;77
ET834;Ethiopian Airlines;14:35;229;0.62;105;142;87
KP983;ASKY Airlines;03:55;118;0.64;150;76;42
AT266;Royal Air Maroc;22:30;192;0.43;105;83;109
HF383;Air C̫te d'Ivoire;20:55;206;0.34;35;70;136
HF803;Air C̫te d'Ivoire;03:05;120;0.15;120;18;102
SN188;Brussels Airlines;14:00;237;0.11;60;26;211
AS748;ASKY Airlines;05:40;285;0.36;150;103;182
AT255;Royal Air Maroc;22:30;126;0.49;45;62;64
ET349;Ethiopian Airlines;04:45;264;0.24;40;63;201
HF194;Air C̫te d'Ivoire;11:00;151;0.45;120;68;83
AF116;Air France;06:15;136;0.39;60;53;83
AT216;Royal Air Maroc;02:20;318;0.61;150;194;124
AF432;Air France;06:20;141;0.18;90;25;116
KP621;ASKY Airlines;11:20;136;0.4;105;54;82
ET179;Ethiopian Airlines;14:50;322;0.3;105;97;225
2J745;Air Burkina;18:10;203;0.21;35;43;160
SN531;Brussels Airlines;05:20;232;0.26;90;60;172
KP215;ASKY Airlines;07:15;334;0.23;150;77;257
KP319;ASKY Airlines;05:20;296;0.37;90;110;186
KP268;ASKY Airlines;02:30;311;0.38;50;118;193
AF946;Air France;04:20;96;0.57;45;55;41
AT415;Royal Air Maroc;08:35;159;0.52;105;83;76
KP909;ASKY Airlines;23:35;255;0.23;45;59;196
ET471;Ethiopian Airlines;15:10;118;0.61;120;72;46
HF859;Air C̫te d'Ivoire;21:20;222;0.57;45;127;95
AF976;Air France;15:55;96;0.43;40;41;55
ET682;Ethiopian Airlines;08:15;328;0.06;120;20;308
ET255;Ethiopian Airlines;17:20;114;0.18;40;21;93
ET713;Ethiopian Airlines;12:35;225;0.52;40;117;108
KP607;ASKY Airlines;10:15;294;0.32;150;94;200
ET564;Ethiopian Airlines;09:20;244;0.13;75;32;212
AF882;Air France;09:30;190;0.29;50;55;135
HF903;Air C̫te d'Ivoire;05:10;214;0.18;105;39;175
ET319;Ethiopian Airlines;15:25;153;0.59;35;90;63
AT114;Royal Air Maroc;11:40;235;0.58;45;136;99
AS216;ASKY Airlines;03:50;294;0.28;35;82;212
ET430;Ethiopian Airlines;04:15;227;0.13;150;30;197
AS450;ASKY Airlines;01:15;110;0.27;90;30;80
AS325;ASKY Airlines;18:25;93;0.13;45;12;81
AF407;Air France;00:25;102;0.23;30;23;79
2J574;Air Burkina;03:10;81;0.51;120;41;40
AS321;ASKY Airlines;11:00;257;0.23;40;59;198
KP439;ASKY Airlines;01:10;138;0.38;75;52;86
AT896;Royal Air Maroc;11:35;255;0.12;40;31;224
AS920;ASKY Airlines;15:35;251;0.26;50;65;186
ET256;Ethiopian Airlines;01:25;162;0.07;35;11;151
AF250;Air France;16:30;302;0.38;90;115;187
ET796;Ethiopian Airlines;01:05;114;0.26;45;30;84
AS632;ASKY Airlines;03:40;189;0.57;30;108;81
AS782;ASKY Airlines;05:10;314;0.29;45;91;223
AT237;Royal Air Maroc;22:05;118;0.38;90;45;73
ET332;Ethiopian Airlines;06:20;298;0.64;105;191;107
AS641;ASKY Airlines;22:00;296;0.44;30;130;166
AT992;Royal Air Maroc;14:20;273;0.35;60;96;177
KP260;ASKY Airlines;19:45;242;0.11;45;27;215
AF501;Air France;11:15;195;0.54;150;105;90
AS377;ASKY Airlines;04:55;240;0.44;90;106;134
TK419;Turkish Airlines;13:25;168;0.12;30;20;148
KP996;ASKY Airlines;15:55;220;0.2;50;44;176
KP462;ASKY Airlines;10:20;253;0.37;30;94;159
AS991;ASKY Airlines;11:40;280;0.08;45;22;258
KP135;ASKY Airlines;18:20;192;0.48;35;92;100
HF402;Air C̫te d'Ivoire;16:35;253;0.19;120;48;205
2J537;Air Burkina;23:55;153;0.34;105;52;101
AS131;ASKY Airlines;06:05;204;0.19;35;39;165
AS273;ASKY Airlines;08:10;103;0.34;45;35;68
AF665;Air France;13:10;111;0.16;40;18;93
HF772;Air C̫te d'Ivoire;19:10;333;0.41;30;137;196
ET349;Ethiopian Airlines;11:25;192;0.6;30;115;77
KP862;ASKY Airlines;14:30;274;0.53;35;145;129
KP378;ASKY Airlines;11:30;95;0.19;90;18;77
AF782;Air France;20:55;291;0.35;35;102;189
KP101;ASKY Airlines;20:30;187;0.3;30;56;131
ET293;Ethiopian Airlines;22:55;103;0.63;60;65;38
AS858;ASKY Airlines;12:10;198;0.53;30;105;93
AT855;Royal Air Maroc;08:00;260;0.11;120;29;231
AS479;ASKY Airlines;23:25;117;0.15;105;18;99
ET934;Ethiopian Airlines;06:10;312;0.47;60;147;165
ET682;Ethiopian Airlines;00:10;148;0.15;120;22;126
ET775;Ethiopian Airlines;09:10;161;0.62;60;100;61
KP986;ASKY Airlines;05:40;197;0.65;30;128;69
ET520;Ethiopian Airlines;14:55;129;0.52;75;67;62
ET212;Ethiopian Airlines;14:15;236;0.07;40;17;219
ET327;Ethiopian Airlines;08:20;153;0.34;30;52;101
ET570;Ethiopian Airlines;12:10;262;0.29;105;76;186
AF912;Air France;22:45;185;0.53;90;98;87
AT627;Royal Air Maroc;00:55;268;0.22;45;59;209
AS130;ASKY Airlines;08:00;166;0.28;40;46;120
AT261;Royal Air Maroc;02:55;251;0.11;35;28;223
ET917;Ethiopian Airlines;08:15;331;0.26;35;86;245
KP821;ASKY Airlines;19:00;223;0.63;150;140;83
AS545;ASKY Airlines;14:50;264;0.62;40;164;100
AS526;ASKY Airlines;23:50;233;0.5;30;116;117
AT795;Royal Air Maroc;06:30;197;0.59;120;116;81
AF603;Air France;03:30;346;0.18;75;62;284
AT626;Royal Air Maroc;19:15;334;0.42;35;140;194
ET916;Ethiopian Airlines;16:20;320;0.35;60;112;208
KP783;ASKY Airlines;21:45;250;0.3;60;75;175
AS631;ASKY Airlines;03:30;184;0.24;150;44;140
AS619;ASKY Airlines;18:25;115;0.57;45;66;49
KP133;ASKY Airlines;04:15;145;0.34;45;49;96
KP835;ASKY Airlines;15:15;264;0.48;30;127;137
KP857;ASKY Airlines;02:05;269;0.47;150;126;143
ET589;Ethiopian Airlines;10:45;234;0.13;60;30;204
AF871;Air France;21:05;306;0.08;90;24;282
2J719;Air Burkina;14:55;220;0.55;120;121;99
SN853;Brussels Airlines;18:15;155;0.34;45;53;102
ET522;Ethiopian Airlines;20:20;225;0.54;30;122;103
AS123;ASKY Airlines;23:15;117;0.23;45;27;90
ET315;Ethiopian Airlines;13:10;341;0.57;35;194;147
AT154;Royal Air Maroc;15:50;205;0.55;45;113;92
AS380;ASKY Airlines;23:05;171;0.28;90;48;123
AS426;ASKY Airlines;05:15;340;0.3;40;102;238
HF285;Air C̫te d'Ivoire;04:50;187;0.26;50;49;138
KP111;ASKY Airlines;20:20;124;0.07;120;9;115
ET740;Ethiopian Airlines;16:00;81;0.46;150;37;44
ET983;Ethiopian Airlines;15:00;280;0.21;35;59;221
AS307;ASKY Airlines;01:25;169;0.58;105;98;71
KP438;ASKY Airlines;10:20;294;0.59;40;173;121
AS361;ASKY Airlines;03:50;194;0.48;30;93;101
AS468;ASKY Airlines;05:15;171;0.16;75;27;144
KP731;ASKY Airlines;06:00;265;0.1;150;26;239
HF282;Air C̫te d'Ivoire;16:55;339;0.54;50;183;156
KP108;ASKY Airlines;07:30;237;0.59;105;140;97
ET656;Ethiopian Airlines;00:15;136;0.26;40;35;101
AS881;ASKY Airlines;14:10;126;0.26;150;33;93
TK723;Turkish Airlines;19:30;301;0.28;30;84;217
KP492;ASKY Airlines;11:05;187;0.55;75;103;84
KP136;ASKY Airlines;14:45;259;0.47;90;122;137
HF277;Air C̫te d'Ivoire;22:00;256;0.12;150;31;225
HF738;Air C̫te d'Ivoire;21:50;259;0.43;35;111;148
KP951;ASKY Airlines;14:15;116;0.06;35;7;109
AT171;Royal Air Maroc;08:35;142;0.48;105;68;74
ET451;Ethiopian Airlines;15:25;347;0.51;45;177;170
ET722;Ethiopian Airlines;01:40;349;0.54;30;188;161
KP796;ASKY Airlines;14:00;348;0.43;105;150;198
KP758;ASKY Airlines;14:00;325;0.16;105;52;273
AF320;Air France;06:50;257;0.53;60;136;121
ET925;Ethiopian Airlines;20:20;146;0.59;60;86;60
KP473;ASKY Airlines;12:25;287;0.43;105;123;164
AF617;Air France;22:35;117;0.22;35;26;91
AT359;Royal Air Maroc;16:10;198;0.16;105;32;166
KP960;ASKY Airlines;10:25;105;0.19;45;20;85
ET141;Ethiopian Airlines;09:10;85;0.06;45;5;80
KP996;ASKY Airlines;00:35;312;0.06;105;19;293
AT591;Royal Air Maroc;13:55;193;0.23;75;44;149
AF538;Air France;04:50;213;0.6;120;128;85
TK882;Turkish Airlines;07:50;257;0.42;50;108;149
KP184;ASKY Airlines;00:15;104;0.28;90;29;75
AS157;ASKY Airlines;06:05;127;0.06;30;8;119
KP810;ASKY Airlines;01:55;151;0.64;75;97;54
KP347;ASKY Airlines;06:40;280;0.32;45;90;190
KP138;ASKY Airlines;06:45;112;0.64;35;72;40
SN351;Brussels Airlines;08:35;176;0.48;35;84;92
KP902;ASKY Airlines;21:25;124;0.08;150;10;114
AS512;ASKY Airlines;03:10;342;0.57;105;195;147
AT545;Royal Air Maroc;22:05;149;0.37;60;55;94
AS473;ASKY Airlines;06:15;297;0.32;150;95;202
AT625;Royal Air Maroc;19:15;286;0.5;45;143;143
KP255;ASKY Airlines;17:00;251;0.51;35;128;123
ET641;Ethiopian Airlines;12:40;325;0.53;75;172;153
AS778;ASKY Airlines;10:45;335;0.51;105;171;164
KP168;ASKY Airlines;08:35;343;0.43;35;147;196
SN262;Brussels Airlines;13:30;343;0.46;45;158;185
AS594;ASKY Airlines;07:25;84;0.57;30;48;36
ET482;Ethiopian Airlines;20:10;89;0.46;30;41;48
AS753;ASKY Airlines;13:15;350;0.11;40;38;312
KP608;ASKY Airlines;20:05;309;0.44;30;136;173
HF391;Air C̫te d'Ivoire;16:30;134;0.15;45;20;114
KP763;ASKY Airlines;13:05;120;0.06;60;7;113
AF523;Air France;23:45;217;0.18;50;39;178
TK768;Turkish Airlines;04:00;194;0.14;105;27;167
ET920;Ethiopian Airlines;09:25;142;0.11;150;16;126
SN464;Brussels Airlines;05:15;113;0.18;35;20;93
AS939;ASKY Airlines;09:35;331;0.39;35;129;202
KP980;ASKY Airlines;10:00;276;0.14;40;39;237
KP215;ASKY Airlines;23:40;331;0.22;45;73;258
AF803;Air France;05:25;141;0.56;105;79;62
2J615;Air Burkina;09:05;304;0.58;150;176;128
KP909;ASKY Airlines;13:35;133;0.25;60;33;100
AF340;Air France;19:20;238;0.59;105;140;98
AS242;ASKY Airlines;02:20;104;0.4;50;42;62
ET425;Ethiopian Airlines;06:20;316;0.19;105;60;256
ET794;Ethiopian Airlines;01:30;179;0.5;105;90;89
TK115;Turkish Airlines;06:30;307;0.6;30;184;123
ET210;Ethiopian Airlines;16:45;257;0.45;105;116;141
AS812;ASKY Airlines;12:50;234;0.17;75;40;194
KP478;ASKY Airlines;20:30;318;0.1;150;32;286
AS382;ASKY Airlines;08:55;222;0.19;90;42;180
KP583;ASKY Airlines;12:45;96;0.25;40;24;72
KP172;ASKY Airlines;14:05;84;0.25;30;21;63
HF296;Air C̫te d'Ivoire;12:35;90;0.35;45;31;59
ET342;Ethiopian Airlines;16:00;287;0.35;30;100;187
ET697;Ethiopian Airlines;07:05;160;0.33;30;53;107
KP358;ASKY Airlines;08:50;112;0.26;45;29;83
HF897;Air C̫te d'Ivoire;08:30;238;0.11;90;26;212
AF248;Air France;07:15;194;0.3;30;58;136
KP489;ASKY Airlines;15:50;296;0.64;120;189;107
AF515;Air France;19:45;340;0.44;120;150;190
ET525;Ethiopian Airlines;06:45;237;0.31;105;73;164
KP801;ASKY Airlines;16:40;124;0.1;60;12;112
ET316;Ethiopian Airlines;06:50;199;0.18;50;36;163
ET966;Ethiopian Airlines;05:40;294;0.39;105;115;179
AS315;ASKY Airlines;04:10;207;0.35;105;72;135
TK522;Turkish Airlines;16:10;333;0.06;105;20;313
HF419;Air C̫te d'Ivoire;07:40;117;0.1;40;12;105
AF217;Air France;00:45;289;0.26;90;75;214
ET981;Ethiopian Airlines;15:55;173;0.13;120;22;151
AS514;ASKY Airlines;16:35;108;0.62;45;67;41
AF698;Air France;02:00;243;0.07;45;17;226
ET139;Ethiopian Airlines;12:25;216;0.63;75;136;80
KP802;ASKY Airlines;07:30;102;0.44;90;45;57
ET636;Ethiopian Airlines;15:50;210;0.29;45;61;149
AT519;Royal Air Maroc;23:35;165;0.37;150;61;104
ET763;Ethiopian Airlines;06:55;263;0.3;120;79;184
KP541;ASKY Airlines;20:55;316;0.39;60;123;193
AT657;Royal Air Maroc;14:05;263;0.14;30;37;226
KP749;ASKY Airlines;23:00;238;0.12;35;29;209
KP565;ASKY Airlines;01:15;90;0.37;50;33;57
AS964;ASKY Airlines;23:00;121;0.09;45;11;110
AS511;ASKY Airlines;01:05;314;0.23;40;72;242
AT499;Royal Air Maroc;09:10;210;0.61;150;128;82
ET627;Ethiopian Airlines;04:15;264;0.58;60;153;111
AS235;ASKY Airlines;03:55;93;0.55;120;51;42
HF563;Air C̫te d'Ivoire;14:55;333;0.35;60;117;216
HF858;Air C̫te d'Ivoire;12:25;226;0.07;150;16;210
HF347;Air C̫te d'Ivoire;16:35;139;0.12;120;17;122
KP809;ASKY Airlines;20:40;239;0.6;90;143;96
ET100;Ethiopian Airlines;22:15;105;0.55;35;58;47
2J801;Air Burkina;00:00;144;0.28;75;40;104
AT480;Royal Air Maroc;17:20;149;0.49;75;73;76
KP559;ASKY Airlines;14:20;252;0.56;35;141;111
KP905;ASKY Airlines;13:40;304;0.42;60;128;176
ET575;Ethiopian Airlines;08:25;232;0.56;50;130;102
SN656;Brussels Airlines;11:20;119;0.2;35;24;95
ET948;Ethiopian Airlines;04:45;225;0.33;105;74;151
ET996;Ethiopian Airlines;22:45;177;0.4;90;71;106
AS217;ASKY Airlines;01:20;327;0.43;75;141;186
AF907;Air France;22:35;91;0.64;60;58;33
AT283;Royal Air Maroc;22:50;103;0.56;50;58;45
KP846;ASKY Airlines;06:00;304;0.08;105;24;280
AT849;Royal Air Maroc;20:20;324;0.15;50;49;275
TK827;Turkish Airlines;08:00;250;0.44;60;110;140
AS722;ASKY Airlines;17:30;111;0.19;40;21;90
ET202;Ethiopian Airlines;03:30;193;0.15;105;29;164
KP685;ASKY Airlines;01:45;288;0.45;150;130;158
AT519;Royal Air Maroc;23:35;114;0.37;90;42;72
ET572;Ethiopian Airlines;00:30;284;0.53;105;151;133
ET863;Ethiopian Airlines;11:50;345;0.24;30;83;262
AT213;Royal Air Maroc;12:40;144;0.25;30;36;108
KP412;ASKY Airlines;13:35;177;0.14;35;25;152
SN429;Brussels Airlines;04:35;264;0.44;45;116;148
ET438;Ethiopian Airlines;02:10;317;0.48;120;152;165
AS272;ASKY Airlines;03:45;345;0.13;50;45;300
AF178;Air France;16:15;311;0.2;75;62;249
AT563;Royal Air Maroc;18:15;188;0.14;45;26;162
AS704;ASKY Airlines;10:00;257;0.5;30;128;129
HF600;Air C̫te d'Ivoire;07:25;328;0.18;90;59;269
SN661;Brussels Airlines;11:05;84;0.14;150;12;72
KP322;ASKY Airlines;17:40;236;0.09;40;21;215
2J692;Air Burkina;17:00;309;0.55;105;170;139
AS766;ASKY Airlines;08:00;195;0.12;35;23;172
KP332;ASKY Airlines;04:50;340;0.07;150;24;316
KP927;ASKY Airlines;20:45;206;0.09;30;19;187
HF335;Air C̫te d'Ivoire;16:50;107;0.27;120;29;78
AF770;Air France;12:25;307;0.41;90;126;181
KP927;ASKY Airlines;05:00;208;0.29;40;60;148
KP413;ASKY Airlines;23:55;108;0.32;30;35;73
ET912;Ethiopian Airlines;21:10;258;0.6;150;155;103
AS893;ASKY Airlines;13:45;243;0.51;40;124;119
HF713;Air C̫te d'Ivoire;14:05;239;0.25;90;60;179
AT662;Royal Air Maroc;22:50;344;0.14;150;48;296
ET519;Ethiopian Airlines;13:40;104;0.5;45;52;52
TK151;Turkish Airlines;03:20;224;0.39;120;87;137
KP918;ASKY Airlines;17:25;254;0.63;150;160;94
2J742;Air Burkina;00:05;87;0.6;75;52;35
AF608;Air France;11:35;188;0.39;90;73;115
ET881;Ethiopian Airlines;21:25;208;0.09;75;19;189
KP304;ASKY Airlines;08:50;81;0.07;30;6;75
HF830;Air C̫te d'Ivoire;09:55;89;0.55;45;49;40
KP284;ASKY Airlines;20:35;196;0.47;120;92;104
KP789;ASKY Airlines;17:35;90;0.39;105;35;55
AS113;ASKY Airlines;16:00;175;0.46;75;80;95
ET345;Ethiopian Airlines;18:30;172;0.37;30;64;108
ET286;Ethiopian Airlines;03:05;181;0.4;90;72;109
AF436;Air France;15:50;177;0.19;45;34;143
HF358;Air C̫te d'Ivoire;06:35;235;0.32;75;75;160
AS139;ASKY Airlines;08:55;224;0.06;60;13;211
AF700;Air France;07:05;290;0.45;75;130;160
KP517;ASKY Airlines;06:15;234;0.25;120;58;176
HF450;Air C̫te d'Ivoire;09:05;321;0.44;120;141;180
AT108;Royal Air Maroc;07:30;155;0.61;30;95;60
ET449;Ethiopian Airlines;23:20;254;0.4;60;102;152
AF183;Air France;16:50;190;0.25;40;48;142
KP892;ASKY Airlines;11:50;97;0.17;120;16;81
ET457;Ethiopian Airlines;13:40;317;0.2;45;63;254
AT477;Royal Air Maroc;11:20;277;0.64;30;177;100
ET271;Ethiopian Airlines;01:50;241;0.42;120;101;140
KP492;ASKY Airlines;11:35;279;0.31;90;86;193
ET202;Ethiopian Airlines;13:05;313;0.19;35;59;254
AT801;Royal Air Maroc;06:10;122;0.51;40;62;60
AS509;ASKY Airlines;12:25;161;0.28;75;45;116
KP648;ASKY Airlines;20:50;106;0.23;35;24;82
AF883;Air France;03:30;148;0.18;45;27;121
AT904;Royal Air Maroc;00:45;278;0.16;75;44;234
AS763;ASKY Airlines;16:35;295;0.21;40;62;233
AS631;ASKY Airlines;02:10;203;0.43;35;87;116
KP970;ASKY Airlines;16:30;95;0.19;90;18;77
KP642;ASKY Airlines;07:35;205;0.09;35;18;187
ET118;Ethiopian Airlines;02:45;93;0.27;120;25;68
AF247;Air France;09:25;118;0.4;75;47;71
AF570;Air France;01:15;278;0.09;150;25;253
ET590;Ethiopian Airlines;21:25;187;0.32;40;60;127
KP961;ASKY Airlines;03:40;347;0.08;45;28;319
